filename                                CCSD(T)/CBS_(kcal/mol)
06_MeOH-MeNH2_1.05.xyz                  -7.335
06_MeOH-MeNH2_1.10.xyz                  -6.967
06_MeOH-MeNH2_1.25.xyz                  -5.503
06_MeOH-MeNH2_1.50.xyz                  -3.349
06_MeOH-MeNH2_2.00.xyz                  -1.274
07_MeOH-Peptide_0.90.xyz                -7.629
07_MeOH-Peptide_0.95.xyz                -8.140
07_MeOH-Peptide_1.00.xyz                -8.220
07_MeOH-Peptide_1.05.xyz                -8.024
07_MeOH-Peptide_1.10.xyz                -7.660
07_MeOH-Peptide_1.25.xyz                -6.182
07_MeOH-Peptide_1.50.xyz                -3.648
07_MeOH-Peptide_2.00.xyz                -1.096
08_MeOH-Water_0.90.xyz                  -4.587
08_MeOH-Water_0.95.xyz                  -4.952
08_MeOH-Water_1.00.xyz                  -4.997
08_MeOH-Water_1.05.xyz                  -4.847
08_MeOH-Water_1.10.xyz                  -4.586
08_MeOH-Water_1.25.xyz                  -3.589
08_MeOH-Water_1.50.xyz                  -2.199
08_MeOH-Water_2.00.xyz                  -0.907
09_MeNH2-MeOH_0.90.xyz                  -2.814
09_MeNH2-MeOH_0.95.xyz                  -3.041
09_MeNH2-MeOH_1.00.xyz                  -3.035
09_MeNH2-MeOH_1.05.xyz                  -2.896
09_MeNH2-MeOH_1.10.xyz                  -2.687
09_MeNH2-MeOH_1.25.xyz                  -1.976
09_MeNH2-MeOH_1.50.xyz                  -1.100
09_MeNH2-MeOH_2.00.xyz                  -0.393
10_MeNH2-MeNH2_0.90.xyz                 -3.696
10_MeNH2-MeNH2_0.95.xyz                 -4.093
10_MeNH2-MeNH2_1.00.xyz                 -4.152
10_MeNH2-MeNH2_1.05.xyz                 -4.008
10_MeNH2-MeNH2_1.10.xyz                 -3.752
10_MeNH2-MeNH2_1.25.xyz                 -2.793
10_MeNH2-MeNH2_1.50.xyz                 -1.307
10_MeNH2-MeNH2_2.00.xyz                 -0.387
11_MeNH2-Peptide_0.90.xyz               -4.949
11_MeNH2-Peptide_0.95.xyz               -5.356
11_MeNH2-Peptide_1.00.xyz               -5.406
11_MeNH2-Peptide_1.05.xyz               -5.236
11_MeNH2-Peptide_1.10.xyz               -4.939
11_MeNH2-Peptide_1.25.xyz               -3.209
11_MeNH2-Peptide_1.50.xyz               -1.401
11_MeNH2-Peptide_2.00.xyz               -0.455
12_MeNH2-Water_0.90.xyz                 -6.747
12_MeNH2-Water_0.95.xyz                 -7.203
12_MeNH2-Water_1.00.xyz                 -7.245
12_MeNH2-Water_1.05.xyz                 -7.029
12_MeNH2-Water_1.10.xyz                 -6.657
12_MeNH2-Water_1.25.xyz                 -5.222
12_MeNH2-Water_1.50.xyz                 -3.153
12_MeNH2-Water_2.00.xyz                 -1.195
13_Peptide-MeOH_0.90.xyz                -5.673
13_Peptide-MeOH_0.95.xyz                -6.107
13_Peptide-MeOH_1.00.xyz                -6.180
13_Peptide-MeOH_1.05.xyz                -6.027
13_Peptide-MeOH_1.10.xyz                -5.741
13_Peptide-MeOH_1.25.xyz                -4.604
13_Peptide-MeOH_1.50.xyz                -2.946
13_Peptide-MeOH_2.00.xyz                -1.303
14_Peptide-MeNH2_0.90.xyz               -6.812
14_Peptide-MeNH2_0.95.xyz               -7.341
14_Peptide-MeNH2_1.00.xyz               -7.451
14_Peptide-MeNH2_1.05.xyz               -7.291
14_Peptide-MeNH2_1.10.xyz               -6.966
14_Peptide-MeNH2_1.25.xyz               -5.611
14_Peptide-MeNH2_1.50.xyz               -3.553
14_Peptide-MeNH2_2.00.xyz               -1.489
15_Peptide-Peptide_0.90.xyz             -8.015
15_Peptide-Peptide_0.95.xyz             -8.531
15_Peptide-Peptide_1.00.xyz             -8.624
15_Peptide-Peptide_1.05.xyz             -8.445
15_Peptide-Peptide_1.10.xyz             -8.098
15_Peptide-Peptide_1.25.xyz             -6.657
15_Peptide-Peptide_1.50.xyz             -4.415
15_Peptide-Peptide_2.00.xyz             -1.774
16_Peptide-Water_0.90.xyz               -4.695
16_Peptide-Water_0.95.xyz               -5.061
16_Peptide-Water_1.00.xyz               -5.118
16_Peptide-Water_1.05.xyz               -4.983
16_Peptide-Water_1.10.xyz               -4.740
16_Peptide-Water_1.25.xyz               -3.793
16_Peptide-Water_1.50.xyz               -2.449
16_Peptide-Water_2.00.xyz               -1.133
17_Uracil-Uracil_BP_0.90.xyz            -15.700
17_Uracil-Uracil_BP_0.95.xyz            -16.898
17_Uracil-Uracil_BP_1.00.xyz            -17.182
17_Uracil-Uracil_BP_1.05.xyz            -16.864
17_Uracil-Uracil_BP_1.10.xyz            -16.169
17_Uracil-Uracil_BP_1.25.xyz            -13.150
17_Uracil-Uracil_BP_1.50.xyz            -8.354
17_Uracil-Uracil_BP_2.00.xyz            -3.333
18_Water-Pyridine_0.90.xyz              -6.392
18_Water-Pyridine_0.95.xyz              -6.804
18_Water-Pyridine_1.00.xyz              -6.834
18_Water-Pyridine_1.05.xyz              -6.624
18_Water-Pyridine_1.10.xyz              -6.273
18_Water-Pyridine_1.25.xyz              -4.931
18_Water-Pyridine_1.50.xyz              -3.011
18_Water-Pyridine_2.00.xyz              -1.186
19_MeOH-Pyridine_0.90.xyz               -6.783
19_MeOH-Pyridine_0.95.xyz               -7.307
19_MeOH-Pyridine_1.00.xyz               -7.404
19_MeOH-Pyridine_1.05.xyz               -7.226
19_MeOH-Pyridine_1.10.xyz               -6.882
19_MeOH-Pyridine_1.25.xyz               -5.479
19_MeOH-Pyridine_1.50.xyz               -3.381
19_MeOH-Pyridine_2.00.xyz               -1.331
20_AcOH-AcOH_0.90.xyz                   -17.449
20_AcOH-AcOH_0.95.xyz                   -18.787
20_AcOH-AcOH_1.00.xyz                   -19.090
20_AcOH-AcOH_1.05.xyz                   -18.724
20_AcOH-AcOH_1.10.xyz                   -17.938
20_AcOH-AcOH_1.25.xyz                   -14.558
20_AcOH-AcOH_1.50.xyz                   -9.207
20_AcOH-AcOH_2.00.xyz                   -3.592
21_AcNH2-AcNH2_0.90.xyz                 -14.926
21_AcNH2-AcNH2_0.95.xyz                 -16.026
21_AcNH2-AcNH2_1.00.xyz                 -16.260
21_AcNH2-AcNH2_1.05.xyz                 -15.935
21_AcNH2-AcNH2_1.10.xyz                 -15.262
21_AcNH2-AcNH2_1.25.xyz                 -12.418
21_AcNH2-AcNH2_1.50.xyz                 -7.997
21_AcNH2-AcNH2_2.00.xyz                 -2.999
22_AcOH-Uracil_0.90.xyz                 -17.902
22_AcOH-Uracil_0.95.xyz                 -19.185
22_AcOH-Uracil_1.00.xyz                 -19.491
22_AcOH-Uracil_1.05.xyz                 -19.152
22_AcOH-Uracil_1.10.xyz                 -18.406
22_AcOH-Uracil_1.25.xyz                 -15.137
22_AcOH-Uracil_1.50.xyz                 -9.859
22_AcOH-Uracil_2.00.xyz                 -4.146
23_AcNH2-Uracil_0.90.xyz                -17.697
23_AcNH2-Uracil_0.95.xyz                -18.889
23_AcNH2-Uracil_1.00.xyz                -19.190
23_AcNH2-Uracil_1.05.xyz                -18.898
23_AcNH2-Uracil_1.10.xyz                -18.224
23_AcNH2-Uracil_1.25.xyz                -15.208
23_AcNH2-Uracil_1.50.xyz                -10.229
23_AcNH2-Uracil_2.00.xyz                -4.653
24_Benzene-Benzene_pi-pi_0.90.xyz       -0.225
24_Benzene-Benzene_pi-pi_0.95.xyz       -2.069
24_Benzene-Benzene_pi-pi_1.00.xyz       -2.736
24_Benzene-Benzene_pi-pi_1.05.xyz       -2.799
24_Benzene-Benzene_pi-pi_1.10.xyz       -2.578
24_Benzene-Benzene_pi-pi_1.25.xyz       -1.538
24_Benzene-Benzene_pi-pi_1.50.xyz       -0.487
24_Benzene-Benzene_pi-pi_2.00.xyz       -0.063
25_Pyridine-Pyridine_pi-pi_0.90.xyz     -1.321
25_Pyridine-Pyridine_pi-pi_0.95.xyz     -3.168
25_Pyridine-Pyridine_pi-pi_1.00.xyz     -3.825
25_Pyridine-Pyridine_pi-pi_1.05.xyz     -3.855
25_Pyridine-Pyridine_pi-pi_1.10.xyz     -3.580
25_Pyridine-Pyridine_pi-pi_1.25.xyz     -2.356
25_Pyridine-Pyridine_pi-pi_1.50.xyz     -0.960
25_Pyridine-Pyridine_pi-pi_2.00.xyz     -0.236
26_Uracil-Uracil_pi-pi_0.90.xyz         -7.855
26_Uracil-Uracil_pi-pi_0.95.xyz         -9.498
26_Uracil-Uracil_pi-pi_1.00.xyz         -9.821
26_Uracil-Uracil_pi-pi_1.05.xyz         -9.429
26_Uracil-Uracil_pi-pi_1.10.xyz         -8.685
26_Uracil-Uracil_pi-pi_1.25.xyz         -6.072
26_Uracil-Uracil_pi-pi_1.50.xyz         -3.096
26_Uracil-Uracil_pi-pi_2.00.xyz         -0.992
27_Benzene-Pyridine_pi-pi_0.90.xyz      -0.725
27_Benzene-Pyridine_pi-pi_0.95.xyz      -2.690
27_Benzene-Pyridine_pi-pi_1.00.xyz      -3.369
27_Benzene-Pyridine_pi-pi_1.05.xyz      -3.398
27_Benzene-Pyridine_pi-pi_1.10.xyz      -3.128
27_Benzene-Pyridine_pi-pi_1.25.xyz      -1.970
27_Benzene-Pyridine_pi-pi_1.50.xyz      -0.721
27_Benzene-Pyridine_pi-pi_2.00.xyz      -0.145
28_Benzene-Uracil_pi-pi_0.90.xyz        -3.531
28_Benzene-Uracil_pi-pi_0.95.xyz        -5.216
28_Benzene-Uracil_pi-pi_1.00.xyz        -5.705
28_Benzene-Uracil_pi-pi_1.05.xyz        -5.549
28_Benzene-Uracil_pi-pi_1.10.xyz        -5.077
28_Benzene-Uracil_pi-pi_1.25.xyz        -3.292
28_Benzene-Uracil_pi-pi_1.50.xyz        -1.364
28_Benzene-Uracil_pi-pi_2.00.xyz        -0.251
29_Pyridine-Uracil_pi-pi_0.90.xyz       -3.740
29_Pyridine-Uracil_pi-pi_0.95.xyz       -6.173
29_Pyridine-Uracil_pi-pi_1.00.xyz       -6.814
29_Pyridine-Uracil_pi-pi_1.05.xyz       -6.581
29_Pyridine-Uracil_pi-pi_1.10.xyz       -5.971
29_Pyridine-Uracil_pi-pi_1.25.xyz       -3.866
29_Pyridine-Uracil_pi-pi_1.50.xyz       -1.776
29_Pyridine-Uracil_pi-pi_2.00.xyz       -0.532
30_Benzene-Ethene_0.90.xyz              -0.259
30_Benzene-Ethene_0.95.xyz              -1.125
30_Benzene-Ethene_1.00.xyz              -1.412
30_Benzene-Ethene_1.05.xyz              -1.401
30_Benzene-Ethene_1.10.xyz              -1.256
30_Benzene-Ethene_1.25.xyz              -0.689
30_Benzene-Ethene_1.50.xyz              -0.174
30_Benzene-Ethene_2.00.xyz              0.009
31_Uracil-Ethene_0.90.xyz               -2.567
31_Uracil-Ethene_0.95.xyz               -3.237
31_Uracil-Ethene_1.00.xyz               -3.378
31_Uracil-Ethene_1.05.xyz               -3.237
31_Uracil-Ethene_1.10.xyz               -2.959
31_Uracil-Ethene_1.25.xyz               -1.990
31_Uracil-Ethene_1.50.xyz               -0.932
31_Uracil-Ethene_2.00.xyz               -0.254
32_Uracil-Ethyne_0.90.xyz               -2.793
32_Uracil-Ethyne_0.95.xyz               -3.563
32_Uracil-Ethyne_1.00.xyz               -3.737
32_Uracil-Ethyne_1.05.xyz               -3.591
32_Uracil-Ethyne_1.10.xyz               -3.291
32_Uracil-Ethyne_1.25.xyz               -2.225
32_Uracil-Ethyne_1.50.xyz               -1.042
32_Uracil-Ethyne_2.00.xyz               -0.273
33_Pyridine-Ethene_0.90.xyz             -0.885
33_Pyridine-Ethene_0.95.xyz             -1.622
33_Pyridine-Ethene_1.00.xyz             -1.861
33_Pyridine-Ethene_1.05.xyz             -1.830
33_Pyridine-Ethene_1.10.xyz             -1.668
33_Pyridine-Ethene_1.25.xyz             -1.027
33_Pyridine-Ethene_1.50.xyz             -0.366
33_Pyridine-Ethene_2.00.xyz             -0.046
34_Pentane-Pentane_0.90.xyz             -2.856
34_Pentane-Pentane_0.95.xyz             -3.620
34_Pentane-Pentane_1.00.xyz             -3.774
34_Pentane-Pentane_1.05.xyz             -3.613
34_Pentane-Pentane_1.10.xyz             -3.304
34_Pentane-Pentane_1.25.xyz             -2.235
34_Pentane-Pentane_1.50.xyz             -1.050
34_Pentane-Pentane_2.00.xyz             -0.270
35_Neopentane-Pentane_0.90.xyz          -1.852
35_Neopentane-Pentane_0.95.xyz          -2.492
35_Neopentane-Pentane_1.00.xyz          -2.611
35_Neopentane-Pentane_1.05.xyz          -2.484
35_Neopentane-Pentane_1.10.xyz          -2.254
35_Neopentane-Pentane_1.25.xyz          -1.496
35_Neopentane-Pentane_1.50.xyz          -0.698
35_Neopentane-Pentane_2.00.xyz          -0.184
36_Neopentane-Neopentane_0.90.xyz       -1.454
36_Neopentane-Neopentane_0.95.xyz       -1.735
36_Neopentane-Neopentane_1.00.xyz       -1.772
36_Neopentane-Neopentane_1.05.xyz       -1.684
36_Neopentane-Neopentane_1.10.xyz       -1.537
36_Neopentane-Neopentane_1.25.xyz       -1.048
36_Neopentane-Neopentane_1.50.xyz       -0.504
36_Neopentane-Neopentane_2.00.xyz       -0.135
37_Cyclopentane-Neopentane_0.90.xyz     -1.607
37_Cyclopentane-Neopentane_0.95.xyz     -2.250
37_Cyclopentane-Neopentane_1.00.xyz     -2.405
37_Cyclopentane-Neopentane_1.05.xyz     -2.325
37_Cyclopentane-Neopentane_1.10.xyz     -2.138
37_Cyclopentane-Neopentane_1.25.xyz     -1.467
37_Cyclopentane-Neopentane_1.50.xyz     -0.706
37_Cyclopentane-Neopentane_2.00.xyz     -0.188
38_Cyclopentane-Cyclopentane_0.90.xyz   -2.237
38_Cyclopentane-Cyclopentane_0.95.xyz   -2.842
38_Cyclopentane-Cyclopentane_1.00.xyz   -2.997
38_Cyclopentane-Cyclopentane_1.05.xyz   -2.860
38_Cyclopentane-Cyclopentane_1.10.xyz   -2.595
38_Cyclopentane-Cyclopentane_1.25.xyz   -1.713
38_Cyclopentane-Cyclopentane_1.50.xyz   -0.791
38_Cyclopentane-Cyclopentane_2.00.xyz   -0.204
39_Benzene-Cyclopentane_0.90.xyz        -2.156
39_Benzene-Cyclopentane_0.95.xyz        -3.239
39_Benzene-Cyclopentane_1.00.xyz        -3.569
39_Benzene-Cyclopentane_1.05.xyz        -3.470
39_Benzene-Cyclopentane_1.10.xyz        -3.167
39_Benzene-Cyclopentane_1.25.xyz        -2.065
39_Benzene-Cyclopentane_1.50.xyz        -0.895
39_Benzene-Cyclopentane_2.00.xyz        -0.189
40_Benzene-Neopentane_0.90.xyz          -1.863
40_Benzene-Neopentane_0.95.xyz          -2.675
40_Benzene-Neopentane_1.00.xyz          -2.894
40_Benzene-Neopentane_1.05.xyz          -2.804
40_Benzene-Neopentane_1.10.xyz          -2.568
40_Benzene-Neopentane_1.25.xyz          -1.703
40_Benzene-Neopentane_1.50.xyz          -0.765
40_Benzene-Neopentane_2.00.xyz          -0.187
41_Uracil-Pentane_0.90.xyz              -3.827
41_Uracil-Pentane_0.95.xyz              -4.692
41_Uracil-Pentane_1.00.xyz              -4.839
41_Uracil-Pentane_1.05.xyz              -4.600
41_Uracil-Pentane_1.10.xyz              -4.079
41_Uracil-Pentane_1.25.xyz              -2.443
41_Uracil-Pentane_1.50.xyz              -0.976
41_Uracil-Pentane_2.00.xyz              -0.213
42_Uracil-Cyclopentane_0.90.xyz         -3.049
42_Uracil-Cyclopentane_0.95.xyz         -3.968
42_Uracil-Cyclopentane_1.00.xyz         -4.132
42_Uracil-Cyclopentane_1.05.xyz         -3.919
42_Uracil-Cyclopentane_1.10.xyz         -3.539
42_Uracil-Cyclopentane_1.25.xyz         -2.294
42_Uracil-Cyclopentane_1.50.xyz         -1.017
42_Uracil-Cyclopentane_2.00.xyz         -0.247
43_Uracil-Neopentane_0.90.xyz           -2.868
43_Uracil-Neopentane_0.95.xyz           -3.599
43_Uracil-Neopentane_1.00.xyz           -3.700
43_Uracil-Neopentane_1.05.xyz           -3.489
43_Uracil-Neopentane_1.10.xyz           -3.145
43_Uracil-Neopentane_1.25.xyz           -2.045
43_Uracil-Neopentane_1.50.xyz           -0.920
43_Uracil-Neopentane_2.00.xyz           -0.229
44_Ethene-Pentane_0.90.xyz              -1.656
44_Ethene-Pentane_0.95.xyz              -1.971
44_Ethene-Pentane_1.00.xyz              -1.989
44_Ethene-Pentane_1.05.xyz              -1.862
44_Ethene-Pentane_1.10.xyz              -1.674
44_Ethene-Pentane_1.25.xyz              -1.090
44_Ethene-Pentane_1.50.xyz              -0.492
44_Ethene-Pentane_2.00.xyz              -0.120
45_Ethyne-Pentane_0.90.xyz              -1.134
45_Ethyne-Pentane_0.95.xyz              -1.631
45_Ethyne-Pentane_1.00.xyz              -1.749
45_Ethyne-Pentane_1.05.xyz              -1.676
45_Ethyne-Pentane_1.10.xyz              -1.519
45_Ethyne-Pentane_1.25.xyz              -0.977
45_Ethyne-Pentane_1.50.xyz              -0.421
45_Ethyne-Pentane_2.00.xyz              -0.097
46_Peptide-Pentane_0.90.xyz             -3.751
46_Peptide-Pentane_0.95.xyz             -4.205
46_Peptide-Pentane_1.00.xyz             -4.244
46_Peptide-Pentane_1.05.xyz             -4.048
46_Peptide-Pentane_1.10.xyz             -3.730
46_Peptide-Pentane_1.25.xyz             -2.628
46_Peptide-Pentane_1.50.xyz             -1.188
46_Peptide-Pentane_2.00.xyz             -0.286
47_Benzene-Benzene_TS_0.90.xyz          -1.643
47_Benzene-Benzene_TS_0.95.xyz          -2.578
47_Benzene-Benzene_TS_1.00.xyz          -2.866
47_Benzene-Benzene_TS_1.05.xyz          -2.816
47_Benzene-Benzene_TS_1.10.xyz          -2.604
47_Benzene-Benzene_TS_1.25.xyz          -1.767
47_Benzene-Benzene_TS_1.50.xyz          -0.828
47_Benzene-Benzene_TS_2.00.xyz          -0.224
48_Pyridine-Pyridine_TS_0.90.xyz        -2.526
48_Pyridine-Pyridine_TS_0.95.xyz        -3.307
48_Pyridine-Pyridine_TS_1.00.xyz        -3.533
48_Pyridine-Pyridine_TS_1.05.xyz        -3.453
48_Pyridine-Pyridine_TS_1.10.xyz        -3.218
48_Pyridine-Pyridine_TS_1.25.xyz        -2.292
48_Pyridine-Pyridine_TS_1.50.xyz        -1.178
48_Pyridine-Pyridine_TS_2.00.xyz        -0.371
49_Benzene-Pyridine_TS_0.90.xyz         -2.087
49_Benzene-Pyridine_TS_0.95.xyz         -3.041
49_Benzene-Pyridine_TS_1.00.xyz         -3.324
49_Benzene-Pyridine_TS_1.05.xyz         -3.257
49_Benzene-Pyridine_TS_1.10.xyz         -3.020
49_Benzene-Pyridine_TS_1.25.xyz         -2.098
49_Benzene-Pyridine_TS_1.50.xyz         -1.049
49_Benzene-Pyridine_TS_2.00.xyz         -0.333
50_Benzene-Ethyne_CH-pi_0.90.xyz        -1.869
50_Benzene-Ethyne_CH-pi_0.95.xyz        -2.646
50_Benzene-Ethyne_CH-pi_1.00.xyz        -2.864
50_Benzene-Ethyne_CH-pi_1.05.xyz        -2.791
50_Benzene-Ethyne_CH-pi_1.10.xyz        -2.580
50_Benzene-Ethyne_CH-pi_1.25.xyz        -1.785
50_Benzene-Ethyne_CH-pi_1.50.xyz        -0.889
50_Benzene-Ethyne_CH-pi_2.00.xyz        -0.271
51_Ethyne-Ethyne_TS_0.90.xyz            -1.207
51_Ethyne-Ethyne_TS_0.95.xyz            -1.470
51_Ethyne-Ethyne_TS_1.00.xyz            -1.523
51_Ethyne-Ethyne_TS_1.05.xyz            -1.462
51_Ethyne-Ethyne_TS_1.10.xyz            -1.346
51_Ethyne-Ethyne_TS_1.25.xyz            -0.933
51_Ethyne-Ethyne_TS_1.50.xyz            -0.461
51_Ethyne-Ethyne_TS_2.00.xyz            -0.135
52_Benzene-AcOH_OH-pi_0.90.xyz          -3.968
52_Benzene-AcOH_OH-pi_0.95.xyz          -4.580
52_Benzene-AcOH_OH-pi_1.00.xyz          -4.704
52_Benzene-AcOH_OH-pi_1.05.xyz          -4.550
52_Benzene-AcOH_OH-pi_1.10.xyz          -4.250
52_Benzene-AcOH_OH-pi_1.25.xyz          -3.126
52_Benzene-AcOH_OH-pi_1.50.xyz          -1.699
52_Benzene-AcOH_OH-pi_2.00.xyz          -0.554
53_Benzene-AcNH2_NH-pi_0.90.xyz         -3.787
53_Benzene-AcNH2_NH-pi_0.95.xyz         -4.265
53_Benzene-AcNH2_NH-pi_1.00.xyz         -4.358
53_Benzene-AcNH2_NH-pi_1.05.xyz         -4.225
53_Benzene-AcNH2_NH-pi_1.10.xyz         -3.967
53_Benzene-AcNH2_NH-pi_1.25.xyz         -2.973
53_Benzene-AcNH2_NH-pi_1.50.xyz         -1.645
53_Benzene-AcNH2_NH-pi_2.00.xyz         -0.481
54_Benzene-Water_OH-pi_0.90.xyz         -2.804
54_Benzene-Water_OH-pi_0.95.xyz         -3.213
54_Benzene-Water_OH-pi_1.00.xyz         -3.268
54_Benzene-Water_OH-pi_1.05.xyz         -3.132
54_Benzene-Water_OH-pi_1.10.xyz         -2.901
54_Benzene-Water_OH-pi_1.25.xyz         -2.102
54_Benzene-Water_OH-pi_1.50.xyz         -1.156
54_Benzene-Water_OH-pi_2.00.xyz         -0.416
55_Benzene-MeOH_OH-pi_0.90.xyz          -3.453
55_Benzene-MeOH_OH-pi_0.95.xyz          -4.047
55_Benzene-MeOH_OH-pi_1.00.xyz          -4.187
55_Benzene-MeOH_OH-pi_1.05.xyz          -4.065
55_Benzene-MeOH_OH-pi_1.10.xyz          -3.804
55_Benzene-MeOH_OH-pi_1.25.xyz          -2.800
55_Benzene-MeOH_OH-pi_1.50.xyz          -1.528
55_Benzene-MeOH_OH-pi_2.00.xyz          -0.517
56_Benzene-MeNH2_NH-pi_0.90.xyz         -2.512
56_Benzene-MeNH2_NH-pi_0.95.xyz         -3.087
56_Benzene-MeNH2_NH-pi_1.00.xyz         -3.231
56_Benzene-MeNH2_NH-pi_1.05.xyz         -3.119
56_Benzene-MeNH2_NH-pi_1.10.xyz         -2.863
56_Benzene-MeNH2_NH-pi_1.25.xyz         -1.950
56_Benzene-MeNH2_NH-pi_1.50.xyz         -0.940
56_Benzene-MeNH2_NH-pi_2.00.xyz         -0.261
57_Benzene-Peptide_NH-pi_0.90.xyz       -3.746
57_Benzene-Peptide_NH-pi_0.95.xyz       -4.955
57_Benzene-Peptide_NH-pi_1.00.xyz       -5.280
57_Benzene-Peptide_NH-pi_1.05.xyz       -5.144
57_Benzene-Peptide_NH-pi_1.10.xyz       -4.782
57_Benzene-Peptide_NH-pi_1.25.xyz       -3.414
57_Benzene-Peptide_NH-pi_1.50.xyz       -1.803
57_Benzene-Peptide_NH-pi_2.00.xyz       -0.618
58_Pyridine-Pyridine_CH-N_0.90.xyz      -2.804
58_Pyridine-Pyridine_CH-N_0.95.xyz      -3.819
58_Pyridine-Pyridine_CH-N_1.00.xyz      -4.146
58_Pyridine-Pyridine_CH-N_1.05.xyz      -3.885
58_Pyridine-Pyridine_CH-N_1.10.xyz      -3.446
58_Pyridine-Pyridine_CH-N_1.25.xyz      -2.181
58_Pyridine-Pyridine_CH-N_1.50.xyz      -1.010
58_Pyridine-Pyridine_CH-N_2.00.xyz      -0.275
59_Ethyne-Water_CH-O_0.90.xyz           -2.515
59_Ethyne-Water_CH-O_0.95.xyz           -2.797
59_Ethyne-Water_CH-O_1.00.xyz           -2.847
59_Ethyne-Water_CH-O_1.05.xyz           -2.759
59_Ethyne-Water_CH-O_1.10.xyz           -2.596
59_Ethyne-Water_CH-O_1.25.xyz           -1.981
59_Ethyne-Water_CH-O_1.50.xyz           -1.169
59_Ethyne-Water_CH-O_2.00.xyz           -0.458
60_Ethyne-AcOH_OH-pi_0.90.xyz           -4.284
60_Ethyne-AcOH_OH-pi_0.95.xyz           -4.781
60_Ethyne-AcOH_OH-pi_1.00.xyz           -4.860
60_Ethyne-AcOH_OH-pi_1.05.xyz           -4.693
60_Ethyne-AcOH_OH-pi_1.10.xyz           -4.390
60_Ethyne-AcOH_OH-pi_1.25.xyz           -3.255
60_Ethyne-AcOH_OH-pi_1.50.xyz           -1.772
60_Ethyne-AcOH_OH-pi_2.00.xyz           -0.557
61_Pentane-AcOH_0.90.xyz                -2.700
61_Pentane-AcOH_0.95.xyz                -2.901
61_Pentane-AcOH_1.00.xyz                -2.879
61_Pentane-AcOH_1.05.xyz                -2.730
61_Pentane-AcOH_1.10.xyz                -2.515
61_Pentane-AcOH_1.25.xyz                -1.788
61_Pentane-AcOH_1.50.xyz                -0.784
61_Pentane-AcOH_2.00.xyz                -0.168
62_Pentane-AcNH2_0.90.xyz               -3.152
62_Pentane-AcNH2_0.95.xyz               -3.501
62_Pentane-AcNH2_1.00.xyz               -3.505
62_Pentane-AcNH2_1.05.xyz               -3.321
62_Pentane-AcNH2_1.10.xyz               -3.043
62_Pentane-AcNH2_1.25.xyz               -2.116
62_Pentane-AcNH2_1.50.xyz               -1.043
62_Pentane-AcNH2_2.00.xyz               -0.273
63_Benzene-AcOH_0.90.xyz                -2.734
63_Benzene-AcOH_0.95.xyz                -3.600
63_Benzene-AcOH_1.00.xyz                -3.801
63_Benzene-AcOH_1.05.xyz                -3.652
63_Benzene-AcOH_1.10.xyz                -3.338
63_Benzene-AcOH_1.25.xyz                -2.236
63_Benzene-AcOH_1.50.xyz                -1.020
63_Benzene-AcOH_2.00.xyz                -0.262
64_Peptide-Ethene_0.90.xyz              -2.600
64_Peptide-Ethene_0.95.xyz              -2.949
64_Peptide-Ethene_1.00.xyz              -2.988
64_Peptide-Ethene_1.05.xyz              -2.854
64_Peptide-Ethene_1.10.xyz              -2.631
